,Type,Epic,Ticket Title,Description,Acceptance Criteria,Implementation Notes,Effort Estimate,Mockup Ref,Questions / Open Items
,Task,4. Setup New Round & Clone,[Designer] Factor-doc write node + setupNewRound action + gating,MANUAL: add a Write Records node (System lane) after the criteria write that persists the factor->document mappings; create the setupNewRound action and gate visibility.,"AC 1: Mappings written in-process
Given the write node is added
When Setup New Round runs
Then factor->document mappings persist for the new round

AC 2: Action gating
Given any round is SETTING_UP/INPROGRESS
Then Setup New Round is hidden until all rounds are COMPLETE (optional <5 cap)",Write node feeds constructFactorDocumentMappingsForNewRound output. Action visibility uses the family resolver statuses.,Small,,
,Story,5. Start / Complete Round & Rounds Panel,Rounds panel section (+ status/gating rules),Rounds panel listing each round with name/sequence/status (color) and the correct action per state. Object: AS_GSS_SEC_rounds + its helper rules.,"AC 1: Correct action per round
Given a family across statuses
Then Start Round shows only on the latest SETTING_UP round, Complete Round only on the INPROGRESS round, Edit always

AC 2: Status display
Then each card shows name/sequence/status with the right color/label","Rules folded here: returnLatestChildEvaluationInSetupForGivenEvaluation (Start Round gating); returnRoundStatusDisplayConfig (status->color/label, de-dupes 4 matches); hasOpenCompleteEvaluationTask if used for Complete gating. Consume the family resolver.",Medium,GSS - Multiround Evaluation (1).pdf p9,Q: 'Active round' definition — max-sequence vs latest non-complete? (doc 07 Q12)
,Story,5. Start / Complete Round & Rounds Panel,Start Round form,Confirmation dialog to start an already-created round (dynamic round number + included-vendor count). Object: AS_GSS_FM_startRound.,"AC 1: Confirm dialog
Given the latest round is SETTING_UP
When I open Start Round
Then I see the confirm dialog with the round number and included-vendor count

AC 2: Output
When I confirm
Then it outputs userAction=START and the eval fields for the process",Create the round-number rule (family resolver -> sequence) and included-vendor count rule (active EvaluationVendor).,Small,GSS - Multiround Evaluation (1).pdf p8,
,Story,5. Start / Complete Round & Rounds Panel,Start Round process model,Thin wrapper PM whose start form is the Start Round form; calls the Start-Evaluation generation process as a subprocess without creating a new round. Object: AS GSS Start Round PM.,"AC 1: Round starts
Given the confirm dialog is submitted
Then the round -> INPROGRESS and generation runs (reusing the Start-Evaluation process), with no new round created",No new rules; wires the form to the reused generation process. Forwards evaluation/userAction/vendors/factors.,Small,,
,Story,5. Start / Complete Round & Rounds Panel,Complete Round process model (formless),"Formless wrapper PM that marks the active round COMPLETE, reusing Mark-Complete + GCW sync + audit. Object: AS GSS Complete Round PM.","AC 1: Round completes
Given an INPROGRESS round
When Complete Round runs
Then it -> COMPLETE with no form, reusing the existing mark-complete write/sync/audit",No form. Pre-sets eval to COMPLETE and calls the existing Mark-Complete subprocess.,Small,,
,Task,5. Start / Complete Round & Rounds Panel,[Designer] startRound / completeRound actions,MANUAL: create the startRound and completeRound record actions with parentEvalId-based visibility and contextExpr.,"AC 1: Actions wired
Given the actions are created
Then each launches its wrapper PM on the correct round state with the right context",startRound visible on latest SETTING_UP child; completeRound on INPROGRESS. No rules.,Small,,
,Story,6. Hidden-Child Integrity,Evaluations list shows the parent only,Add a parent-only filter to the Evaluations list so child clones never appear as rows and rows link to the parent. Object: AS_GSS_GRD_EvaluationRecordList.,"AC 1: Only parents listed
Given a family with rounds
When I open the Evaluations page
Then only the parent appears and the row links to the parent

AC 2: Evaluator scoping
Given an evaluator assigned to round work (child ids)
Then the parent appears once, not the child clones",Add filter parentEvalId is null. Map any child-derived applicableEvaluationIds back to parent via the family resolver. Use parent-identity for the row title/link.,Medium,,Q: Also write clones isActive=false as defense-in-depth? Does that break round-aware tabs that query clones? (doc 07 Q14)
,Story,6. Hidden-Child Integrity,Home My Active Evaluations & counts exclude clones,Exclude child clones from the home 'My Active Evaluations' cards and any evaluation count. Object: AS_GSS_BL_returnEvaluationInfoForLandingPage (+ the activeEvaluations card display it feeds).,"AC 1: Parent-only cards
Given a family with rounds
When the home page loads
Then only the parent's card appears and counts exclude clones

AC 2: Current-round status (optional)
Then the card may show the current round's status per the agreed display",Add parentEvalId-is-null filter to the landing BL rule and any count/KPI. Optionally surface current-round status via the family resolver.,Medium,,"Q: Show the current round's status on the parent card, or the parent's own status? (doc 07 Q15)"
,Story,6. Hidden-Child Integrity,Task grids parent-aware (My Tasks + record summary),Single story owning the shared task grid: (a) My Tasks Evaluation column names/links the parent; (b) record-summary Tasks section shows the agreed scope instead of parent-only (which today misses round tasks). Object: AS_GSS_GRD_activeTasks + AS_GSS_TMG_CPS_recordSummaryActiveTasks (both edited here to avoid contention).,"AC 1: Parent name + link
Given a round task on My Tasks
Then the Evaluation column shows the parent number/title and the record link targets the parent id (sorting preserved)

AC 2: Record-summary scope
Given a parent with round tasks
Then its Tasks section shows the agreed scope (family or active round), not just parent-only","Repoint the Evaluation column display + link through parent-identity. Adjust the record-summary wrapper to pass the family's evaluationIds (or active round) per the scope decision, using the family resolver.",Medium,,"Q: Parent task scope — current/active round, whole family, or parent-only? (doc 07 Q4)"
,Story,6. Hidden-Child Integrity,Notifications render parent identity,Route every evaluation-naming notification through parent-identity so subject/body/deep-links reference the parent. Object: the GSS email rule cluster.,"AC 1: Parent identity in emails
Given a notification is sent for round work
Then the subject, body and any evaluation deep-link reference the parent","Modify the email rules to resolve the evaluation via parent-identity: task assignment (emailBody/Instruction/Subject ForTaskAssignment, emailBodyForEvaluationTasksAssignment, *TaskRecordAssignment), reassignment, due/overdue, due-date-change, consensus-signature.",Medium,,Q: Confirm all notifications AND Web API payloads must render parent identity. (doc 07 Q5)
,Story,6. Hidden-Child Integrity,Evaluation user filters group by parent,"Where task/consensus/document grids expose an 'Evaluation' user filter, present parents only (or group children under parent) so clones aren't selectable. Object: the relevant record-type user filter config.","AC 1: Parent-only options
Given an Evaluation user filter over child-keyed rows
Then only parents are listed (or children grouped under parent)",Adjust the user-filter source to parents (via parentEvalId is null) or group by parent identity.,Small,,"Q: Parents-only, or rounds grouped under parent? (doc 07 Q3)"
,Task,6. Hidden-Child Integrity,Process-HQ / audit-status-history handling,"Implement the Process-HQ decision so per-clone lifecycles don't distort mining. Objects: Evaluation_Audit, Evaluation_Field_Audit, Evaluation_Status_History feeds.","AC 1: Mining not distorted
Given a completed multi-round family
When Process-HQ metrics are computed
Then clones are excluded or stitched to the parent per the decision; counts/cycle-time not inflated","Depending on the decision: add a clone-exclusion filter to the mining record sources, or stitch clone case ids to the parent.",Medium,,"Q: Exclude clones from mining, or stitch to the parent as one case? (doc 07 Q10)"
,Task,6. Hidden-Child Integrity,[Designer] Child-record access control,MANUAL: set record-level security / navigation guard so a child evaluation link redirects to the parent or is blocked; confirm no invalid actions on a child record.,"AC 1: Child navigation handled
Given a link to a child evaluation record
Then the user is redirected to the parent (or blocked) per the decision, with no invalid actions",Record-level security expression on AS_GSS_Evaluation_RECORD and/or a redirect guard. Designer-only.,Medium,,Q: Hard-block child records (redirect) or only steer via links? What actions are valid on a child? (doc 07 Q11)
,Task,6. Hidden-Child Integrity,Residual surfaces parent-identity sweep,"Sweep low-traffic surfaces and route any evaluation name/link through parent-identity. Objects: documents grids/exports, ratings rollups, in-app alerts, awards displays.","AC 1: Residuals covered
Given each residual surface
Then any evaluation name/link resolves to the parent and no child leak remains",Apply parent-identity where these surfaces render an evaluation name/link. Raise follow-ups for anything structural.,Medium,,
,Story,7. External Integrations (VM / GCW),VM vendor updates target the latest round,"Ensure the VM vendor-update flow writes to the latest round's evaluation, falling back to the parent. Object: AS_GSS_mapVendorUpdatesToRecord (+ rules).","AC 1: Latest-round targeting
Given a VM vendor update for a multi-round family
Then the update targets the latest round's evaluation (parent fallback), verified via testRule",Use the family resolver to pick the latest round (per Q12); write vendor updates to that eval.,Small,,Q: 'Latest/active round' definition — align with doc 07 Q12.
,Story,7. External Integrations (VM / GCW),GCW status sync suppressed for child rounds,Guard the GCW status-sync so only the parent's transitions sync. Object: the GCW status-sync process/entry.,"AC 1: Child rounds don't sync
Given a child-round status change
Then the sync is skipped

AC 2: Parent still syncs
Given a parent status change
Then GCW updates as before",Single guard at the sync entry: skip when parentEvalId is populated.,Small,,
,Task,7. External Integrations (VM / GCW),Web API payloads return parent identity,Ensure VM/GCW-facing Web APIs returning evaluation identity resolve to the parent. Objects: the WA-backing rules.,"AC 1: Parent identity in payloads
Given a Web API response with evaluation identity for a round record
Then it returns the parent evaluationId/number",Resolve identity via parent-identity in the WA-backing rules.,Small,,
,Story,8. End-to-End Testing & Hardening,End-to-end round lifecycle on a live family,"Run the full lifecycle: Create -> Start Evaluation (Round 1) -> complete factor work -> Complete Round -> Setup New Round -> Start Round -> ... -> Select Awardees, verifying no child leakage and awards on the parent.","AC 1: Lifecycle completes
Given a fresh Best Value evaluation
When the full multi-round lifecycle is executed
Then every step succeeds, the Epic 6 leak/scope checks hold, and awards persist on the parent",Manual/scripted E2E; no new objects.,Large,,Q: Awards persist on parent while reading final-round data — confirm. (doc 07 Q13)
,Task,8. End-to-End Testing & Hardening,Regression — LPTA & non-Best-Value unaffected,"Verify LPTA and non-Best-Value evaluations behave exactly as before (start flow, tasks, no rounds UI).","AC 1: No regression
Given an LPTA or non-Best-Value evaluation
Then behavior is unchanged and no rounds UI appears",Regression pass; no objects.,Small,,
,Task,8. End-to-End Testing & Hardening,Complete residual impact verification,Read/confirm the remaining low-traffic surfaces from the impact analysis so no VERIFY items remain.,"AC 1: No open VERIFY items
Given the residual list in the impact analysis
Then each surface is confirmed safe or a follow-up ticket is raised",Inspection pass across the doc 07 §12 residuals.,Small,,
,Story,9. UI Redesign from New Mockups (DEFERRED),Redesign screens per new mockups (deferred),"DEFERRED (PO). Per-screen redesign from the new mockups (Summary Rounds panel restyle, Setup New Round wizard, Start Evaluation form). To be broken into per-screen stories when scheduled.","AC 1: Deferred
Given the new mockups
When scheduled
Then this epic is broken into per-screen redesign stories",Per-screen; one story per interface when scheduled (respecting one-object-one-story).,,08_UI_REDESIGN_NEW_MOCKUPS.md,"Q: Break out per-screen now for visibility, or keep deferred as one placeholder?"
